"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"324",11,"Kevin Coleman Jr.",MIA,"0","0","0","0","0","0","0","0","0"
"325",11,"Noah Fant",NO,"57.8","0","0","34","288","3","0","0","0"
"326",11,"Roman Wilson",PIT,"0","0","0","12","166","2","0","0","0"
"327",11,"KaVontae Turpin",DAL,"71.5","0","0","26","396","2","17","89","0"
"328",11,"Phil Mafah",DAL,"9.9","0","0","2","11","0","5","18","1"
"329",11,"Malik Benson",LV,"0","0","0","0","0","0","0","0","0"
"330",11,"Raheim Sanders",CLE,"18.8","0","0","3","21","0","27","92","1"
"331",11,"J'Mari Taylor",JAC,"0","0","0","0","0","0","0","0","0"
"332",11,"Jam Miller",NE,"0","0","0","0","0","0","0","0","0"
"333",11,"Savion Williams",GB,"20.5","0","0","10","78","1","11","37","0"
"334",11,"Jaylin Lane",WAS,"41.2","0","0","16","225","0","1","7","0"
"335",11,"John Metchie III",CAR,"55.4","0","0","33","274","2","3","-5","0"
"336",11,"Roschon Johnson",CHI,"1.7","0","0","0","0","0","2","17","0"
"337",11,"Demarcus Robinson",SF,"47.2","0","0","22","276","1","1","6","0"
"338",11,"Luke Musgrave",GB,"37.2","0","0","24","252","0","0","0","0"
