"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"195",12,"Ty Montgomery II",FA,"7.4","3","9","0","12","5","40","0"
"196",12,"Anthony McFarland Jr.",FA,"2.1","0","0","0","2","2","11","0"
"197",12,"Wendell Smallwood",FA,"0","0","0","0","0","0","0","0"
"198",12,"Xazavian Valladay",NYJ,"0","0","0","0","0","0","0","0"
"199",12,"John Kelly Jr.",BAL,"0","0","0","0","0","0","0","0"
"200",12,"Brandon Johnson",FA,"0","0","0","0","0","0","0","0"
"201",12,"Pooka Williams Jr.",FA,"0","0","0","0","0","0","0","0"
"202",12,"Jack Colletto",PIT,"0","0","0","0","0","0","0","0"
"203",12,"Devine Ozigbo",FA,"1.8","3","5","0","1","1","8","0"
"204",12,"James Butler",FA,"0","0","0","0","0","0","0","0"
"205",12,"Raheim Sanders",FA,"0","0","0","0","0","0","0","0"
"206",12,"Kenyan Drake",FA,"2.1","2","0","0","3","2","31","0"
