"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"275",10,"Jacksonville Jaguars",JAC,"120","0","0","0","0","0","0","0","0"
"276",10,"Cordarrelle Patterson",PIT,"32.4","0","0","9","38","1","50","181","0"
"277",10,"Greg Dulcich",DEN,"4","0","0","3","25","0","0","0","0"
"278",10,"Alec Pierce",IND,"79.4","0","0","32","514","2","0","0","0"
"279",11,"Daniel Carlson",LV,"121","0","0","0","0","0","0","0","0"
"280",11,"Zay Jones",ARI,"61.1","0","0","34","321","2","0","0","0"
"281",11,"Greg Zuerlein",NYJ,"143","0","0","0","0","0","0","0","0"
"282",11,"Cedric Tillman",CLE,"33.7","0","0","21","224","0","1","8","0"
"283",11,"Deuce Vaughn",DAL,"11.5","0","0","7","40","0","23","40","0"
"284",11,"Pierre Strong Jr.",CLE,"40.3","0","0","5","47","0","63","291","1"
"285",11,"Trey Palmer",TB,"76.2","0","0","39","385","3","3","22","0"
"286",11,"Colby Parkinson",LAR,"49.2","0","0","25","247","2","0","0","0"
"287",11,"Devontez Walker",BAL,"0","0","0","0","0","0","0","0","0"
"288",11,"Green Bay Packers",GB,"115","0","0","0","0","0","0","0","0"
"289",11,"D'Ernest Johnson",JAC,"29.8","0","0","10","140","0","41","108","0"
"290",11,"Isaac Guerendo",SF,"0","0","0","0","0","0","0","0","0"
"291",11,"Jacoby Brissett",NE,"22.9","224","3","0","0","0","3","19","0"
"292",11,"Aidan O'Connell",LV,"132.8","2218","12","0","0","0","17","11","1"
"293",11,"Blake Grupe",NO,"150","0","0","0","0","0","0","0","0"
"294",11,"Emari Demercado",ARI,"62.8","0","0","21","119","0","58","284","2"
"295",11,"Noah Brown",WAS,"85.1","0","0","33","567","2","1","-1","0"
"296",11,"Jeff Wilson Jr.",MIA,"34.3","0","0","14","85","0","41","188","0"
"297",11,"Theo Johnson",NYG,"0","0","0","0","0","0","0","0","0"
"298",11,"Israel Abanikanda",NYJ,"12.8","0","0","7","43","0","22","70","0"
"299",11,"Brenden Rice",LAC,"0","0","0","0","0","0","0","0","0"
"300",11,"Dalvin Cook",DAL,"32.7","0","0","15","78","0","67","214","0"
"301",11,"Denver Broncos",DEN,"118","0","0","0","0","0","0","0","0"
"302",11,"Ronnie Rivers",LAR,"17.6","0","0","5","22","0","32","129","0"
"303",11,"Jacob Cowing",SF,"0","0","0","0","0","0","0","0","0"
"304",11,"Evan Hull",IND,"1.2","0","0","1","6","0","1","1","0"
"305",11,"Hayden Hurst",LAC,"33.4","0","0","18","184","1","0","0","0"
"306",11,"Las Vegas Raiders",LV,"146","0","0","0","0","0","0","0","0"
"307",11,"Tyler Higbee",LAR,"85","0","0","47","495","2","0","0","0"
"308",11,"Carson Steele",KC,"0","0","0","0","0","0","0","0","0"
"309",11,"Kalif Raymond",DET,"79.9","0","0","35","489","1","7","75","0"
"310",11,"Chris Rodriguez Jr.",WAS,"36.9","0","0","2","12","0","51","247","2"
"311",11,"Michael Carter",ARI,"46.8","0","0","24","101","1","30","187","0"
"312",11,"Dyami Brown",WAS,"29","0","0","12","168","1","1","0","0"
"313",11,"Robert Woods",HOU,"69.3","0","0","40","426","1","1","7","0"
"314",11,"Tutu Atwell",LAR,"92.9","0","0","39","483","3","5","31","0"
"315",11,"Tyler Scott",CHI,"27.4","0","0","17","168","0","7","41","0"
"316",11,"Kylen Granson",IND,"58","0","0","30","368","1","1","2","0"
"317",11,"Rasheen Ali",BAL,"0","0","0","0","0","0","0","0","0"
"318",11,"Daniel Bellinger",NYG,"38","0","0","25","255","0","0","0","0"
"319",11,"Malik Washington",MIA,"0","0","0","0","0","0","0","0","0"
